epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20839,0.8408,3.41669,1.25054,0.07,0.80769,0.06393,0.04868,0.66265,2.94567,0.98433,0,0,0
2,3.94811,1.49523,3.08105,1.67124,0.07333,0.84615,0.07038,0.05473,0.65787,2.94267,0.98023,1.9802e-05,1.9802e-05,1.9802e-05
3,5.65733,1.56917,3.39152,1.67579,0.08,0.92308,0.08325,0.06619,0.65661,2.93961,0.97603,3.9208e-05,3.9208e-05,3.9208e-05
4,7.21361,0.85401,3.42299,1.16211,0.08667,1,0.10861,0.08626,0.66414,2.94064,0.97786,5.8218e-05,5.8218e-05,5.8218e-05
5,8.8436,1.07549,3.30597,1.26737,0.08667,1,0.13085,0.10498,0.68966,2.93531,0.98242,7.6832e-05,7.6832e-05,7.6832e-05
6,10.4176,1.12931,3.21572,1.34613,0.08667,1,0.13732,0.1079,0.73792,2.92862,0.99297,9.505e-05,9.505e-05,9.505e-05
7,12.1228,1.005,2.99407,1.28539,0.08667,1,0.13711,0.10621,0.77689,2.92325,1.01299,0.000112872,0.000112872,0.000112872
8,13.7321,0.71893,2.68494,1.02673,0.08667,1,0.13688,0.10408,0.8447,2.91595,1.05084,0.000130298,0.000130298,0.000130298
9,15.3817,0.6772,2.70485,0.9846,0.08667,1,0.13439,0.09938,0.8829,2.90397,1.08285,0.000147328,0.000147328,0.000147328
10,17.0692,0.83713,2.64439,0.97238,0.08667,1,0.13509,0.1017,0.87783,2.88313,1.09122,0.000163962,0.000163962,0.000163962
11,18.7718,0.72037,2.2316,0.99899,0.08667,1,0.1431,0.10966,0.82761,2.85481,1.07225,0.0001802,0.0001802,0.0001802
12,20.6404,1.09795,2.68028,1.22963,0.08667,1,0.15566,0.11993,0.78158,2.81903,1.05086,0.000196042,0.000196042,0.000196042
13,22.3301,0.6204,1.86229,0.94637,0.08667,1,0.22186,0.16555,0.75535,2.77382,1.0444,0.000211488,0.000211488,0.000211488
14,24.0453,0.99526,2.33152,1.11536,0.08667,1,0.23442,0.18333,0.75535,2.71141,1.04962,0.000226538,0.000226538,0.000226538
15,25.6917,0.83016,1.58749,1.05024,0.08667,1,0.26561,0.20368,0.797,2.63067,1.07849,0.000241192,0.000241192,0.000241192
16,27.4011,0.62822,1.55345,0.92351,0.08667,1,0.35916,0.274,0.82799,2.50742,1.089,0.00025545,0.00025545,0.00025545
17,29.4934,0.6172,1.47685,0.9469,1,0.20677,0.55215,0.41405,0.88765,2.35623,1.10368,0.000269312,0.000269312,0.000269312
18,31.1326,1.10836,1.96799,1.16508,1,0.20677,0.55215,0.41405,0.88765,2.35623,1.10368,0.000282778,0.000282778,0.000282778
19,32.8635,0.87288,1.14507,0.94975,1,0.33192,0.80263,0.56262,0.98682,2.09104,1.04221,0.000295848,0.000295848,0.000295848
20,35.0833,0.87852,1.67248,1.05853,1,0.33192,0.80263,0.56262,0.98682,2.09104,1.04221,0.000308522,0.000308522,0.000308522
21,36.7009,1.13821,1.59106,1.27033,0.97468,0.73077,0.93736,0.61733,1.1302,1.63298,0.99769,0.0003208,0.0003208,0.0003208
22,38.2437,0.64849,0.99112,0.94975,0.97468,0.73077,0.93736,0.61733,1.1302,1.63298,0.99769,0.000332682,0.000332682,0.000332682
23,39.9137,0.7713,1.48795,0.96792,0.97141,0.96154,0.98924,0.66187,1.13101,1.23748,0.92246,0.000344168,0.000344168,0.000344168
24,41.5302,0.72126,0.87532,0.95958,0.97141,0.96154,0.98924,0.66187,1.13101,1.23748,0.92246,0.000355258,0.000355258,0.000355258
25,43.1681,0.6442,0.8436,0.91963,0.98107,0.99696,0.9933,0.75191,0.96735,1.12135,0.85016,0.000365952,0.000365952,0.000365952
26,44.8619,0.87498,1.05347,1.0649,0.98107,0.99696,0.9933,0.75191,0.96735,1.12135,0.85016,0.00037625,0.00037625,0.00037625
27,46.9897,0.6676,0.91043,0.96514,0.98076,0.98007,0.99217,0.76968,0.89216,1.14221,0.83011,0.000386152,0.000386152,0.000386152
28,48.6547,0.67568,0.76802,0.97107,0.98076,0.98007,0.99217,0.76968,0.89216,1.14221,0.83011,0.000395658,0.000395658,0.000395658
29,50.3268,0.6903,0.75207,0.94499,0.96928,0.94231,0.98995,0.75994,0.8881,1.20569,0.83887,0.000404768,0.000404768,0.000404768
30,51.9866,0.6931,0.88578,0.95752,0.96928,0.94231,0.98995,0.75994,0.8881,1.20569,0.83887,0.000413482,0.000413482,0.000413482
31,53.6772,0.82927,0.94793,1.03435,0.96716,0.90385,0.98629,0.72901,0.94107,1.31752,0.86154,0.0004218,0.0004218,0.0004218
32,55.8435,0.92301,0.99349,1.08986,0.96716,0.90385,0.98629,0.72901,0.94107,1.31752,0.86154,0.000429722,0.000429722,0.000429722
33,58.5468,0.62269,0.62773,0.88723,0.97877,0.88655,0.98016,0.71192,0.97297,1.38031,0.8817,0.000437248,0.000437248,0.000437248
34,60.8253,0.75012,0.90257,1.01536,0.97877,0.88655,0.98016,0.71192,0.97297,1.38031,0.8817,0.000444378,0.000444378,0.000444378
35,63.1079,0.70551,0.70904,0.90597,0.97874,0.88516,0.97603,0.74205,0.9204,1.32654,0.88676,0.000451112,0.000451112,0.000451112
36,64.8294,0.61157,0.8576,0.92799,0.97874,0.88516,0.97603,0.74205,0.9204,1.32654,0.88676,0.00045745,0.00045745,0.00045745
37,67.3013,0.6333,0.71833,0.91707,0.98028,0.88462,0.98403,0.77261,0.86855,1.20496,0.89448,0.000463392,0.000463392,0.000463392
